comments,comments_num,id,reposts,user
回复@TrbIrtUth-:哥你仔细看看回放吧，对面打野是住在中路的，rookie一直在压对面的刀，被针对的情况下团战输出和作用一直很大，看比赛不是看战绩好吧。,465.0,4495641982311149,111.0,这一切我从未拥有丶
回复@cw星星点灯68: 终于找到电竞在哪玩了,465.0,4495639050673958,111.0,小仙女变美记录
回复@不清楚的私信我:谢谢兄弟赢了2000，还行，明天继续压,465.0,4495636848401066,111.0,cw星星点灯68
回复@说代表大会代表:农👌.... 夫❤️山🔞❤️泉....,465.0,4495634696109326,111.0,墨轩_翠竹
回复@庆心:确实,465.0,4495631215422495,111.0,我對味吗
回复@机圈男孩:泪目,465.0,4495630816262294,111.0,人长得贼帅
回复@不是意外:头都被磨秃了[doge],465.0,4495628295625080,111.0,多只猫
回复@机圈男孩:泪目,465.0,4495626316096609,111.0,折翼清珈
回复@不是意外:这棱角，怕是磨没了吧[二哈],465.0,4495626282492745,111.0,BIN柒柒
回复@鹿角小猫仙:怪我有🐴 ，他没🐴 咯[摊手][摊手],465.0,4495625754415610,111.0,一獒25427
回复@机圈男孩:贡子哥:西八 在我铁皮面前你滑给我看看？[喵喵],465.0,4495623404979594,111.0,我也曾是少年_
回复@不是意外:直接磨没了,465.0,4495620867820125,111.0,丶bsjs
回复@四爷乘月:不是人评的,465.0,4495620830344850,111.0,夜行的钟声
回复@不是意外:人都给磨傻了,465.0,4495620368299607,111.0,小粉丝的粉丝i
图片评论 http://t.cn/A6wjIMZ5,465.0,4495619517765200,111.0,lililili锂
猪狗大战,465.0,4495619467023185,111.0,yzj19971205
"支持IG, 投🐷 哪里投？哈哈，给你准备好了，来（555yb.cn）支持你想支持的吧！今天天压IG挣了8000，这段时间压电竞挣了40000了，真得劲，快来一起搞事情吧！白家乐，隆虎，王者农药，cf,lol,还有各种赛和棋簰呦！[鼓掌][鼓掌][鼓掌]",465.0,4495617277963464,111.0,不清楚的私信我
回复@小松和菜奈:我感觉淀粉的心态是真的好，可能常年躺平棺材板,465.0,4495617013467868,111.0,地球探索员
回复@不是意外:他估计自闭了，三把都被shy哥压得喘不过气来,465.0,4495614768842868,111.0,TrbIrtUth-
回复@帅帅皮皮思:肉鸡这几把前面打得有点迷，死很多次，shy哥压制力太强了，团战贡献也大，几乎打费对面上单了，第二吧4000块和第三吧2900的压制，就可怕,465.0,4495614262335736,111.0,TrbIrtUth-
回复@不是意外:新上单出道即退役 这快让shy哥磨没了[二哈],465.0,4495613196586171,111.0,岑尽欢
回复@青年久久为功:滑板鞋三把都放了 第一把不是ts玩的而已,465.0,4495612940546136,111.0,噗噗怪U
ig的时代又来了吗,465.0,4495612537596463,111.0,琦玉Qiyu丶
今天的解说真的顶 服了,465.0,4495611749032759,111.0,corker1001
这里有个鞋贩子,465.0,4495611703130855,111.0,厉害了我的7_
回复@XYLee仔:哈哈哈哈哈哈哈哈 这你都能找到我！我只不过是被艾特了回句话你都能看到！,465.0,4495606875753389,111.0,龚子棋别娶我了打_钱吧
回复@FPX冠军皮肤:谢谢，刚拿赢的钱给你🐴买棺材呢[太开心],465.0,4495605206371870,111.0,Mitchel_Tsai
回复@龚子棋别娶我了打_钱吧:路过又看见姐妹[doge],465.0,4495605164600849,111.0,XYLee仔
回复@FPX冠军皮肤:蟹蟹 我已经把你妈输了,465.0,4495602522403297,111.0,Dexter330
回复@小松和菜奈:你还别说，我还真有点期待23号厨王争霸[doge],465.0,4495597916269065,111.0,红白姬小霸王
回复@张老板ZRY:真香[doge],465.0,4495597367397876,111.0,红白姬小霸王
ig加油,465.0,4495595966803971,111.0,梦泪的女孩
回复@一个七七七七七七七:是的  感觉今天的解说一点激情也没有，而且说错很多,465.0,4495595001765843,111.0,Ma_Jun-
回复@小松和菜奈:哎，以前这两个都是在决赛会面的，现在都在第一轮会面了,465.0,4495592711859034,111.0,失心少年53858
噢耶，奥利给💪🏻,465.0,4495591272832549,111.0,幸会_凡先生
回复@21号少年我爱你:哈哈，确实ig跟哪个队都能打的有来有回[doge],465.0,4495590702536020,111.0,_听西瓜说夏天来了
回复@21号少年我爱你:ig粉丝：菜極跟谁都五五开[二哈],465.0,4495586767858440,111.0,灰火and树妖
最后采访泡芙的女解说问的问题也太过分了叭。奇奇怪怪,465.0,4495585245491423,111.0,北城以北-一朵离殇
回复@不愛吃水果的小貓貓:秀,465.0,4495584503306242,111.0,充电五分钟昂
回复@帅帅皮皮思:这还不好给?对线16分钟压制4000经济，吸引大费上路，牵制打野大多数精力，推塔，偷大龙，贡献关键击杀，永远冲最前面那个。   简单说，这把靠谁赢他不明显么？   很难给?建议您这边再回去看看好吧，俩选手我都超喜欢，但你这么说我不特不理解。,465.0,4495580316956844,111.0,四爷乘月
IG给我冲鸭[心],465.0,4495579440857490,111.0,半文艺女青年张矜持
哈哈,465.0,4495577675434227,111.0,被胖大海宠成公主啦
回复@flyhong:[太开心][太开心][太开心],465.0,4495577519264746,111.0,flyhong
@葡萄不淘_,465.0,4495577037848861,111.0,TonyT__T
有theshy的iG太稳了，今天IG打LNG。我在 2020LPL.com 投了IG啊！春季赛期间都在这里挣了几年工资了。今年RNG也可以反着投。,465.0,4495576445802282,111.0,十月我在落叶边等你TT
这解说给爷整吐了,465.0,4495575229788894,111.0,Crokihh
回复@捉住-:这个男解说也是  一秒一刀🔪  一堆口误,589.0,4495643144321624,197.0,带好你的猫Y
回复@DOUBLECHEESEHUG:哈哈哈哈哈哈这楼笑死我了,589.0,4495640249311183,197.0,奥赛奥赛奥赛得
回复@宅到四肢退化:看着人头比觉得要输，一看经济就比人家少几百块。。。。问题不大不要慌,589.0,4495634042249620,197.0,银河味汽水儿
回复@某热心市民小韩:图片评论 http://t.cn/A6wjxxdc,589.0,4495630305402800,197.0,猫奴系小约-SABRES-
热知识：和s8相比，ig现在就剩上中两个人了。,589.0,4495629138883365,197.0,桃花斑比
回复@DOUBLECHEESEHUG:颜堡，地伞拔德肾,589.0,4495628971446826,197.0,杏仁打着伞
回复@白粥追星专用小号:上二塔说成中二塔 那时候李宁中一塔还坚挺着呢,589.0,4495626597254280,197.0,晚钓弃收纶
回复@Review_71424:女解说指路  娜美寿司，现在改个名字又出来圈钱了,589.0,4495621542847433,197.0,欧阳静宸_
回复@满山野猪我头最铁:肉鸡的佐伊其实也很厉害，好久没见他比赛拿出来了,589.0,4495619505164915,197.0,JR炫儿
回复@MmmYiXr:我单方面宣布ts喜欢我[doge],589.0,4495612596412693,197.0,Theshy滴石头人
回复@小王很用心:我知道楼主是想ig再回到那种状态 但是怎么说呢 年龄在这版本在这  只能说当时真的是天时地利人和 可遇不可求,589.0,4495608519380889,197.0,吃瓜专用号·
回复@LostinEreh:👈👈👈👈👈👈“海柱啊，你......你这个也太吓人了吧。”田芳芳支支吾吾半天，忍着说道。王海柱面对田芳芳倒是不拘谨，他直截了当的说：“还不是因为嫂子你太好看太有诱惑力嘛，才让这家伙蠢蠢欲动。”,589.0,4495601179893601,197.0,似水流年谁苍白了等待爱笑爱生活
回复@小王很用心:抛开版本谈发挥的都是耍流氓[哈哈],589.0,4495597874866525,197.0,墨鱼囧囧菇
回复@ledragoner10413:都这样，应该是让一个比较有经验的先带着的。。。猫猫去年也是唯唯诺诺,589.0,4495593080254331,197.0,相声专业退堂鼓表演艺术家
回复@Review_71424:《守护者》呢[doge],589.0,4495591163954415,197.0,哦屎拔里
回复@小王很用心:那你说吧，LPL哪个队伍有压制力,589.0,4495589100702427,197.0,云轻鸿羽
回复@Review_71424:那句瞎子打不过盲僧我当场就裂开了，哈哈哈哈,589.0,4495587208249220,197.0,fggggg45528
解说真的是石乐志！眼瞎的没边加胡言乱语！,589.0,4495585618472423,197.0,一天一天又一年a
